Title of dataset,ESS round,Edition,Production date,Respondent's identification number,Country,Design weight,Post-stratification weight including design weight,Population size weight (must be combined with dweight or pspwght),Analysis weight,Sampling probability,Sampling stratum,Primary sampling unit,Personal use of internet/e-mail/www,"Internet use, how often","Internet use, how much time on typical day, in minutes","News about politics and current affairs, watching, reading or listening, in minutes","Newspaper reading, politics/current affairs on average weekday","Newspaper reading, total time on average weekday","Most people try to take advantage of you, or try to be fair",Most of the time people helpful or mostly looking out for themselves,Most people can be trusted or you can't be too careful,"Radio listening, news/politics/current affairs on average weekday","Radio listening, total time on average weekday","TV watching, news/politics/current affairs on average weekday","TV watching, total time on average weekday",Placement on left right scale,Trust in the legal system,Trust in politicians,"Party voted for in last national election, United Kingdom","Party voted for in last national election, United Kingdom","Party voted for in last national election, United Kingdom","Party voted for in last national election, United Kingdom","Party voted for in last national election, United Kingdom",Feeling of safety of walking alone in local area after dark,How emotionally attached to [country],How emotionally attached to Europe,Belong to minority ethnic group in country,How often worry about your home being burgled,Born in country,Country of birth,Citizen of country,Member of a group discriminated against in this country,"Religion or denomination belonging to at present, United Kingdom","Religion or denomination belonging to in the past, United Kingdom",Number of people living regularly as member of household,Gender,Gender of second person in household,Year of birth,"Age of respondent, calculated","Age of respondent, calculated","Age group, post coded","Highest level of education, United Kingdom","Highest level of education, United Kingdom","Legal marital status, United Kingdom","Relationship with husband/wife/partner currently living with, United Kingdom",Important that government is strong and ensures safety,Important that government is strong and ensures safety,Region,"Region, United Kingdom",Year,Adjusted l/r placement
ESS6e02_7,6,2.7,18.08.2025,169029,GB,0.5052811,0.4350943,2.2821152,0.9929353,,,,,,,,,,7,4,6,,,3.0,4.0,2,9,5,2.0,,,,,2,,,2.0,,1,,1,2,Not applicable,9.0,1,1,6,1939,,73,,,,4.0,,4.0,,East Midlands (England),,2012,-3
ESS6e02_7,6,2.7,18.08.2025,169094,GB,1.0105622,0.81980187,2.2821152,1.8708823,,,,,,,,,,4,5,5,,,2.0,6.0,3,6,2,66.0,,,,,2,,,2.0,,1,,1,2,Not applicable,2.0,2,2,1,1957,,55,,,,66.0,,4.0,,East Midlands (England),,2012,-2
ESS6e02_7,6,2.7,18.08.2025,169128,GB,2.0211244,1.7348037,2.2821152,3.9590218,,,,,,,,,,5,3,2,,,3.0,5.0,5,9,4,2.0,,,,,4,,,2.0,,1,,1,1,Not applicable,6666.0,5,2,1,1970,,42,,,,66.0,,2.0,,East Midlands (England),,2012,0
ESS6e02_7,6,2.7,18.08.2025,169136,GB,0.5052811,0.4350943,2.2821152,0.9929353,,,,,,,,,,5,7,4,,,2.0,4.0,6,7,4,66.0,,,,,2,,,2.0,,1,,1,2,Church of England / Anglican,6666.0,1,1,6,1918,,94,,,,1.0,,4.0,,East Midlands (England),,2012,1
ESS6e02_7,6,2.7,18.08.2025,169151,GB,1.0105622,0.8701886,2.2821152,1.9858706,,,,,,,,,,8,8,7,,,2.0,5.0,5,8,8,2.0,,,,,1,,,2.0,,1,,1,2,Church of England / Anglican,6666.0,2,1,2,1950,,62,,,,66.0,,2.0,,East Midlands (England),,2012,0
ESS6e02_7,6,2.7,18.08.2025,170027,GB,1.5158433,2.132876,2.2821152,4.867469,,,,,,,,,,4,5,3,,,2.0,2.0,6,7,5,3.0,,,,,2,,,2.0,,1,,1,2,Not applicable,6666.0,3,1,2,1992,,20,,,,6.0,,1.0,,East Midlands (England),,2012,1
ESS6e02_7,6,2.7,18.08.2025,170126,GB,0.5052811,0.6009485,2.2821152,1.3714337,,,,,,,,,,8,8,8,,,1.0,4.0,3,7,1,2.0,,,,,2,,,2.0,,1,,1,2,Not applicable,1.0,1,1,6,1967,,45,,,,6.0,,2.0,,East Midlands (England),,2012,-2
ESS6e02_7,6,2.7,18.08.2025,170167,GB,0.5052811,0.52047014,2.2821152,1.1877729,,,,,,,,,,7,5,8,,,2.0,5.0,4,7,6,2.0,,,,,2,,,2.0,,1,,1,2,Church of England / Anglican,6666.0,1,2,6,1983,,29,,,,6.0,,2.0,,East Midlands (England),,2012,-1
ESS6e02_7,6,2.7,18.08.2025,170209,GB,1.0105622,1.4219174,2.2821152,3.2449794,,,,,,,,,,6,7,6,,,66.0,0.0,3,5,2,2.0,,,,,2,,,2.0,,1,,1,2,Not applicable,2.0,2,1,1,1990,,22,,,,6.0,,2.0,,East Midlands (England),,2012,-2
ESS6e02_7,6,2.7,18.08.2025,171033,GB,0.5052811,0.71095866,2.2821152,1.6224896,,,,,,,,,,4,7,7,,,1.0,1.0,6,8,4,6.0,,,,,1,,,1.0,,1,,1,2,Church of England / Anglican,6666.0,1,1,6,1988,,24,,,,6.0,,3.0,,East Midlands (England),,2012,1
ESS6e02_7,6,2.7,18.08.2025,171058,GB,1.5158432,2.132876,2.2821152,4.867469,,,,,,,,,,2,9,7,,,2.0,4.0,5,7,6,3.0,,,,,1,,,1.0,,2,,2,1,Roman Catholic,6666.0,3,1,2,1978,,34,,,,6.0,,3.0,,East Midlands (England),,2012,0
ESS6e02_7,6,2.7,18.08.2025,171066,GB,0.5052811,0.4337009,2.2821152,0.9897554,,,,,,,,,,7,8,5,,,1.0,1.0,5,3,1,3.0,,,,,1,,,2.0,,1,,1,1,Not applicable,2.0,1,2,6,1961,,51,,,,4.0,,2.0,,East Midlands (England),,2012,0
ESS6e02_7,6,2.7,18.08.2025,171157,GB,1.0105622,0.8198018,2.2821152,1.8708822,,,,,,,,,,4,7,5,,,1.0,3.0,4,5,5,2.0,,,,,2,,,2.0,,1,,1,2,Not applicable,6666.0,2,2,1,1957,,55,,,,66.0,,2.0,,East Midlands (England),,2012,-1
ESS6e02_7,6,2.7,18.08.2025,171165,GB,0.5052811,0.4337009,2.2821152,0.9897554,,,,,,,,,,7,6,6,,,1.0,2.0,6,4,2,66.0,,,,,3,,,2.0,,1,,1,2,Not applicable,2.0,1,2,6,1968,,44,,,,6.0,,2.0,,East Midlands (England),,2012,1
ESS6e02_7,6,2.7,18.08.2025,171173,GB,0.5052811,0.71095866,2.2821152,1.6224896,,,,,,,,,,8,8,7,,,2.0,3.0,3,4,3,66.0,,,,,1,,,2.0,,2,,1,2,Not applicable,6666.0,1,1,6,1988,,24,,,,6.0,,2.0,,East Midlands (England),,2012,-2
ESS6e02_7,6,2.7,18.08.2025,171199,GB,1.0105622,1.0409402,2.2821152,2.3755455,,,,,,,,,,8,8,5,,,0.0,2.0,5,6,6,66.0,,,,,1,,,2.0,,1,,1,2,Not applicable,6666.0,1,2,6,1986,,26,,,,6.0,,8.0,,East Midlands (England),,2012,0
ESS6e02_7,6,2.7,18.08.2025,171207,GB,1.5158432,1.5614103,2.2821152,3.5633183,,,,,,,,,,8,8,5,,,1.0,6.0,1,7,2,6.0,,,,,3,,,2.0,,1,,1,2,Not applicable,2.0,3,2,2,1987,,25,,,,6.0,,2.0,,East Midlands (England),,2012,-4
ESS6e02_7,6,2.7,18.08.2025,172023,GB,0.5052811,0.370178,2.2821152,0.8447889,,,,,,,,,,6,4,5,,,1.0,2.0,5,5,0,7.0,,,,,3,,,2.0,,1,,1,2,Church of England / Anglican,6666.0,1,2,6,1953,,59,,,,4.0,,1.0,,West Midlands (England),,2012,0
ESS6e02_7,6,2.7,18.08.2025,172031,GB,1.0105622,0.740356,2.2821152,1.6895778,,,,,,,,,,5,5,5,,,4.0,4.0,8,7,7,1.0,,,,,3,,,2.0,,1,,1,2,Not applicable,2.0,2,2,1,1946,,66,,,,66.0,,2.0,,West Midlands (England),,2012,3
ESS6e02_7,6,2.7,18.08.2025,172064,GB,1.0105622,0.7833432,2.2821152,1.7876794,,,,,,,,,,7,5,4,,,1.0,6.0,5,4,2,2.0,,,,,2,,,2.0,,1,,1,2,Church of England / Anglican,6666.0,5,2,1,1966,,46,,,,66.0,,1.0,,West Midlands (England),,2012,0
ESS6e02_7,6,2.7,18.08.2025,172080,GB,0.5052811,0.47003213,2.2821152,1.0726675,,,,,,,,,,8,9,9,,,2.0,7.0,5,8,3,2.0,,,,,3,,,2.0,,1,,1,2,Roman Catholic,6666.0,1,2,6,1986,,26,,,,6.0,,1.0,,West Midlands (England),,2012,0
ESS6e02_7,6,2.7,18.08.2025,172098,GB,0.5052811,0.39292994,2.2821152,0.8967114,,,,,,,,,,8,5,4,,,1.0,5.0,5,2,3,7.0,,,,,2,,,1.0,,1,,1,1,Church of England / Anglican,6666.0,1,1,6,1938,,74,,,,4.0,,2.0,,West Midlands (England),,2012,0
ESS6e02_7,6,2.7,18.08.2025,172122,GB,1.5158433,1.1750147,2.2821152,2.681519,,,,,,,,,,7,6,5,,,0.0,4.0,5,8,4,66.0,,,,,2,,,2.0,,1,,1,2,Not applicable,6666.0,5,2,1,1965,,47,,,,66.0,,3.0,,West Midlands (England),,2012,0
ESS6e02_7,6,2.7,18.08.2025,172130,GB,1.5158433,1.1787897,2.2821152,2.690134,,,,,,,,,,2,4,2,,,3.0,3.0,5,7,2,7.0,,,,,1,,,2.0,,1,,1,1,Not applicable,2.0,3,1,2,1950,,62,,,,66.0,,1.0,,West Midlands (England),,2012,0
ESS6e02_7,6,2.7,18.08.2025,172148,GB,1.5158433,1.1750147,2.2821152,2.681519,,,,,,,,,,3,7,4,,,1.0,3.0,5,6,2,2.0,,,,,1,,,2.0,,2,,1,2,Other,6666.0,3,2,1,1962,,50,,,,66.0,,1.0,,West Midlands (England),,2012,0
ESS6e02_7,6,2.7,18.08.2025,172163,GB,1.0105622,0.740356,2.2821152,1.6895778,,,,,,,,,,6,6,7,,,1.0,4.0,4,7,5,6.0,,,,,3,,,2.0,,1,,1,1,Not applicable,2.0,2,2,1,1945,,67,,,,66.0,,2.0,,West Midlands (England),,2012,-1
ESS6e02_7,6,2.7,18.08.2025,172189,GB,0.5052811,0.39292994,2.2821152,0.8967114,,,,,,,,,,5,5,5,,,66.0,0.0,5,88,3,66.0,,,,,2,,,2.0,,2,,2,2,Not applicable,6666.0,1,1,6,1947,,65,,,,5.0,,2.0,,West Midlands (England),,2012,0
ESS6e02_7,6,2.7,18.08.2025,172197,GB,0.5052811,0.370178,2.2821152,0.8447889,,,,,,,,,,3,7,7,,,2.0,7.0,7,3,2,1.0,,,,,3,,,2.0,,1,,1,2,Church of England / Anglican,6666.0,1,2,6,1939,,73,,,,5.0,,2.0,,West Midlands (England),,2012,2
ESS6e02_7,6,2.7,18.08.2025,172205,GB,1.5158433,1.1105341,2.2821152,2.5343666,,,,,,,,,,3,0,0,,,0.0,7.0,5,0,0,7.0,,,,,2,,,2.0,,1,,1,2,Not applicable,6666.0,3,2,1,1954,,58,,,,66.0,,1.0,,West Midlands (England),,2012,0
ESS6e02_7,6,2.7,18.08.2025,173021,GB,1.0105622,0.7403561,2.2821152,1.6895779,,,,,,,,,,5,6,5,,,1.0,7.0,5,5,4,1.0,,,,,1,,,2.0,,1,,1,1,Church of England / Anglican,6666.0,2,2,2,1950,,62,,,,6.0,,3.0,,West Midlands (England),,2012,0
ESS6e02_7,6,2.7,18.08.2025,173047,GB,1.0105622,0.7403561,2.2821152,1.6895779,,,,,,,,,,5,7,5,,,4.0,5.0,5,6,2,77.0,,,,,2,,,2.0,,1,,1,2,Not applicable,6666.0,2,2,1,1931,,81,,,,66.0,,3.0,,West Midlands (England),,2012,0
ESS6e02_7,6,2.7,18.08.2025,173054,GB,1.0105622,0.7403561,2.2821152,1.6895779,,,,,,,,,,5,5,7,,,3.0,7.0,5,5,2,1.0,,,,,4,,,2.0,,1,,1,2,Other,6666.0,2,2,1,1924,,88,,,,66.0,,3.0,,West Midlands (England),,2012,0
ESS6e02_7,6,2.7,18.08.2025,173070,GB,1.0105622,0.7858599,2.2821152,1.7934228,,,,,,,,,,6,6,6,,,3.0,6.0,4,7,4,1.0,,,,,1,,,2.0,,1,,1,2,Church of England / Anglican,6666.0,2,1,2,1934,,78,,,,66.0,,8.0,,West Midlands (England),,2012,-1
ESS6e02_7,6,2.7,18.08.2025,173138,GB,0.5052811,0.37017804,2.2821152,0.84478897,,,,,,,,,,4,7,8,,,2.0,5.0,5,7,6,1.0,,,,,2,,,2.0,,1,,1,2,Church of England / Anglican,6666.0,1,2,6,1933,,79,,,,5.0,,4.0,,West Midlands (England),,2012,0
ESS6e02_7,6,2.7,18.08.2025,173146,GB,0.5052811,0.37017804,2.2821152,0.84478897,,,,,,,,,,5,5,5,,,3.0,7.0,5,5,3,1.0,,,,,1,,,2.0,,1,,1,1,Church of England / Anglican,6666.0,1,2,6,1943,,69,,,,4.0,,2.0,,West Midlands (England),,2012,0
ESS6e02_7,6,2.7,18.08.2025,173161,GB,0.5052811,0.39292994,2.2821152,0.8967114,,,,,,,,,,8,6,3,,,1.0,7.0,8,4,1,1.0,,,,,8,,,2.0,,1,,1,2,Church of England / Anglican,6666.0,1,1,6,1932,,80,,,,5.0,,2.0,,West Midlands (England),,2012,3
ESS6e02_7,6,2.7,18.08.2025,173187,GB,2.5264056,3.2103038,2.2821152,7.326283,,,,,,,,,,8,6,2,,,1.0,7.0,6,8,4,77.0,,,,,1,,,2.0,,1,,1,1,Church of England / Anglican,6666.0,5,1,2,1982,,30,,,,77.0,,4.0,,West Midlands (England),,2012,1
ESS6e02_7,6,2.7,18.08.2025,173195,GB,1.0105622,0.9400643,2.2821152,2.145335,,,,,,,,,,6,6,7,,,2.0,4.0,5,5,6,77.0,,,,,2,,,2.0,,1,,1,2,Not applicable,6666.0,3,2,1,1981,,32,,,,66.0,,4.0,,West Midlands (England),,2012,0
ESS6e02_7,6,2.7,18.08.2025,173203,GB,1.0105622,0.7403561,2.2821152,1.6895779,,,,,,,,,,3,8,5,,,2.0,5.0,5,88,2,1.0,,,,,1,,,2.0,,1,,1,1,Church of England / Anglican,6666.0,2,2,1,1943,,69,,,,66.0,,3.0,,West Midlands (England),,2012,0
ESS6e02_7,6,2.7,18.08.2025,174029,GB,0.5052811,0.3916716,2.2821152,0.8938397,,,,,,,,,,9,7,6,,,2.0,6.0,7,9,10,1.0,,,,,2,,,2.0,,1,,1,2,Church of England / Anglican,6666.0,2,2,1,1967,,46,,,,6.0,,2.0,,West Midlands (England),,2012,2
ESS6e02_7,6,2.7,18.08.2025,174037,GB,0.5052811,0.5427115,2.2821152,1.2385302,,,,,,,,,,6,6,4,,,2.0,4.0,8,3,0,66.0,,,,,1,,,2.0,,1,,1,1,Church of England / Anglican,6666.0,1,1,6,1963,,49,,,,6.0,,2.0,,West Midlands (England),,2012,3
ESS6e02_7,6,2.7,18.08.2025,174060,GB,0.5052811,0.39292994,2.2821152,0.8967114,,,,,,,,,,2,8,10,,,2.0,5.0,5,5,1,1.0,,,,,1,,,2.0,,1,,1,2,Roman Catholic,6666.0,1,1,6,1939,,73,,,,5.0,,2.0,,West Midlands (England),,2012,0
ESS6e02_7,6,2.7,18.08.2025,174102,GB,1.0105622,0.740356,2.2821152,1.6895778,,,,,,,,,,7,7,7,,,2.0,2.0,5,9,8,2.0,,,,,3,,,2.0,,1,,1,2,Church of England / Anglican,6666.0,2,2,1,1952,,60,,,,4.0,,2.0,,West Midlands (England),,2012,0
ESS6e02_7,6,2.7,18.08.2025,174110,GB,1.0105622,0.7858599,2.2821152,1.7934228,,,,,,,,,,5,5,5,,,1.0,2.0,7,7,5,6.0,,,,,1,,,2.0,,1,,1,2,Not applicable,6666.0,1,1,6,1950,,62,,,,6.0,,2.0,,West Midlands (England),,2012,2
ESS6e02_7,6,2.7,18.08.2025,174128,GB,1.0105622,0.740356,2.2821152,1.6895778,,,,,,,,,,3,3,5,,,3.0,6.0,5,6,5,1.0,,,,,1,,,2.0,,1,,1,2,Not applicable,2.0,4,2,1,1955,,57,,,,66.0,,2.0,,West Midlands (England),,2012,0
ESS6e02_7,6,2.7,18.08.2025,174136,GB,1.0105622,0.7833432,2.2821152,1.7876794,,,,,,,,,,9,9,9,,,2.0,2.0,3,6,5,2.0,,,,,1,,,2.0,,1,,1,2,Other,6666.0,4,2,1,1966,,46,,,,6.0,,3.0,,West Midlands (England),,2012,-2
ESS6e02_7,6,2.7,18.08.2025,174144,GB,0.5052811,0.3916716,2.2821152,0.8938397,,,,,,,,,,5,4,3,,,1.0,7.0,5,7,3,1.0,,,,,1,,,2.0,,1,,1,2,Not applicable,2.0,1,2,6,1973,,40,,,,4.0,,2.0,,West Midlands (England),,2012,0
ESS6e02_7,6,2.7,18.08.2025,174151,GB,0.5052811,0.3916716,2.2821152,0.8938397,,,,,,,,,,9,5,7,,,1.0,1.0,8,2,9,1.0,,,,,2,,,2.0,,1,,1,2,Church of England / Anglican,6666.0,2,2,1,1965,,48,,,,66.0,,2.0,,West Midlands (England),,2012,3
ESS6e02_7,6,2.7,18.08.2025,174169,GB,4.0,3.110585,2.2821152,7.0987134,,,,,,,,,,2,8,5,,,3.0,7.0,7,8,3,1.0,,,,,1,,,2.0,,1,,1,2,Not applicable,6666.0,2,1,2,1947,,65,,,,66.0,,2.0,,West Midlands (England),,2012,2
ESS6e02_7,6,2.7,18.08.2025,174177,GB,1.5158433,1.1750147,2.2821152,2.681519,,,,,,,,,,5,6,3,,,2.0,4.0,6,5,4,1.0,,,,,1,,,2.0,,1,,1,8,Other,6666.0,4,2,1,1971,,42,,,,66.0,,1.0,,West Midlands (England),,2012,1
ESS6e02_7,6,2.7,18.08.2025,174185,GB,1.0105622,0.94006425,2.2821152,2.145335,,,,,,,,,,7,7,5,,,2.0,5.0,6,4,4,1.0,,,,,2,,,2.0,,1,,1,2,Not applicable,6666.0,3,2,1,1979,,33,,,,66.0,,3.0,,West Midlands (England),,2012,1
ESS6e02_7,6,2.7,18.08.2025,174193,GB,0.5052811,0.5427115,2.2821152,1.2385302,,,,,,,,,,7,7,7,,,1.0,2.0,5,7,4,3.0,,,,,1,,,2.0,,1,,1,2,Not applicable,6666.0,1,1,6,1975,,37,,,,6.0,,2.0,,West Midlands (England),,2012,0
ESS6e02_7,6,2.7,18.08.2025,175034,GB,0.5052811,0.3929299,2.2821152,0.89671135,,,,,,,,,,5,9,3,,,2.0,2.0,0,2,0,88.0,,,,,1,,,2.0,,1,,1,2,Not applicable,6666.0,2,1,2,1955,,57,,,,66.0,,1.0,,West Midlands (England),,2012,-5
ESS6e02_7,6,2.7,18.08.2025,175042,GB,1.5158432,1.926182,2.2821152,4.395769,,,,,,,,,,7,4,6,,,1.0,3.0,5,5,0,2.0,,,,,1,,,2.0,,1,,1,2,Not applicable,6666.0,3,1,1,1985,,27,,,,6.0,,4.0,,West Midlands (England),,2012,0
ESS6e02_7,6,2.7,18.08.2025,175059,GB,1.0105622,0.740356,2.2821152,1.6895778,,,,,,,,,,6,4,4,,,1.0,4.0,5,8,2,1.0,,,,,2,,,2.0,,1,,1,2,Not applicable,6666.0,2,2,1,1947,,65,,,,66.0,,3.0,,West Midlands (England),,2012,0
ESS6e02_7,6,2.7,18.08.2025,175083,GB,1.0105622,0.78334314,2.2821152,1.7876793,,,,,,,,,,6,7,7,,,1.0,3.0,3,4,2,3.0,,,,,2,,,2.0,,1,,1,2,Not applicable,2.0,4,2,1,1967,,45,,,,66.0,,4.0,,West Midlands (England),,2012,-2
ESS6e02_7,6,2.7,18.08.2025,175091,GB,1.0105622,0.740356,2.2821152,1.6895778,,,,,,,,,,6,8,7,,,3.0,6.0,7,8,7,88.0,,,,,3,,,2.0,,1,,1,2,Other,6666.0,2,2,1,1947,,65,,,,66.0,,1.0,,West Midlands (England),,2012,2
ESS6e02_7,6,2.7,18.08.2025,175133,GB,1.0105622,0.7858598,2.2821152,1.7934227,,,,,,,,,,8,7,9,,,2.0,4.0,3,8,5,3.0,,,,,1,,,2.0,,1,,1,2,Not applicable,2.0,2,1,2,1942,,70,,,,66.0,,2.0,,West Midlands (England),,2012,-2
ESS6e02_7,6,2.7,18.08.2025,175141,GB,1.0105622,0.740356,2.2821152,1.6895778,,,,,,,,,,7,6,5,,,1.0,4.0,5,5,3,1.0,,,,,3,,,2.0,,1,,1,2,Church of England / Anglican,6666.0,2,2,1,1945,,67,,,,66.0,,1.0,,West Midlands (England),,2012,0
ESS6e02_7,6,2.7,18.08.2025,175158,GB,1.0105622,0.7858598,2.2821152,1.7934227,,,,,,,,,,5,7,3,,,3.0,4.0,2,5,2,1.0,,,,,2,,,2.0,,2,,1,2,Roman Catholic,6666.0,2,1,2,1934,,78,,,,66.0,,1.0,,West Midlands (England),,2012,-3
ESS6e02_7,6,2.7,18.08.2025,175174,GB,0.5052811,0.370178,2.2821152,0.8447889,,,,,,,,,,2,1,2,,,4.0,5.0,2,4,1,3.0,,,,,2,,,2.0,,1,,1,2,Not applicable,6666.0,2,2,1,1946,,66,,,,66.0,,5.0,,West Midlands (England),,2012,-3
ESS6e02_7,6,2.7,18.08.2025,175190,GB,1.0105622,1.0854229,2.2821152,2.47706,,,,,,,,,,8,4,8,,,66.0,0.0,3,5,5,2.0,,,,,1,,,2.0,,1,,1,2,Church of England / Anglican,6666.0,4,1,2,1967,,45,,,,66.0,,4.0,,West Midlands (England),,2012,-2
ESS6e02_7,6,2.7,18.08.2025,176032,GB,1.0105621,0.74035597,2.2821152,1.6895776,,,,,,,,,,5,7,4,,,2.0,4.0,9,4,4,1.0,,,,,3,,,2.0,,1,,1,2,Not applicable,6666.0,2,2,1,1939,,73,,,,66.0,,1.0,,West Midlands (England),,2012,4
ESS6e02_7,6,2.7,18.08.2025,176040,GB,0.50528103,0.3929299,2.2821152,0.89671135,,,,,,,,,,7,6,5,,,3.0,5.0,6,7,5,66.0,,,,,2,,,2.0,,1,,1,2,Other,6666.0,1,1,6,1951,,61,,,,3.0,,2.0,,West Midlands (England),,2012,1
ESS6e02_7,6,2.7,18.08.2025,176081,GB,1.5158432,1.1750146,2.2821152,2.6815188,,,,,,,,,,4,4,4,,,0.0,1.0,3,4,0,2.0,,,,,1,,,2.0,,1,,1,2,Church of England / Anglican,6666.0,4,2,2,1967,,45,,,,4.0,,2.0,,West Midlands (England),,2012,-2
ESS6e02_7,6,2.7,18.08.2025,176099,GB,1.5158432,1.1750146,2.2821152,2.6815188,,,,,,,,,,5,6,6,,,2.0,4.0,5,5,4,2.0,,,,,1,,,1.0,,2,,1,2,Other,6666.0,4,2,1,1969,,43,,,,66.0,,2.0,,West Midlands (England),,2012,0
ESS6e02_7,6,2.7,18.08.2025,176131,GB,1.0105621,0.9400642,2.2821152,2.1453347,,,,,,,,,,6,5,6,,,2.0,3.0,5,5,4,66.0,,,,,1,,,2.0,,1,,1,2,Not applicable,6666.0,2,2,1,1984,,28,,,,66.0,,2.0,,West Midlands (England),,2012,0
ESS6e02_7,6,2.7,18.08.2025,176149,GB,1.0105621,0.74035597,2.2821152,1.6895776,,,,,,,,,,4,7,5,,,1.0,7.0,7,2,4,88.0,,,,,1,,,2.0,,1,,1,2,Not applicable,2.0,2,2,1,1955,,57,,,,66.0,,2.0,,West Midlands (England),,2012,2
ESS6e02_7,6,2.7,18.08.2025,176164,GB,1.0105621,0.7858598,2.2821152,1.7934227,,,,,,,,,,8,5,5,,,1.0,7.0,8,6,3,1.0,,,,,2,,,2.0,,1,,1,2,Not applicable,3.0,2,1,2,1947,,65,,,,6.0,,1.0,,West Midlands (England),,2012,3
ESS6e02_7,6,2.7,18.08.2025,176172,GB,0.50528103,0.39167157,2.2821152,0.89383966,,,,,,,,,,3,6,3,,,0.0,7.0,8,2,3,1.0,,,,,3,,,2.0,,1,,1,2,Church of England / Anglican,6666.0,1,2,6,1961,,51,,,,4.0,,3.0,,West Midlands (England),,2012,3
ESS6e02_7,6,2.7,18.08.2025,176180,GB,0.50528103,0.37017798,2.2821152,0.8447888,,,,,,,,,,7,9,8,,,1.0,7.0,2,6,0,1.0,,,,,2,,,2.0,,1,,1,2,Church of England / Anglican,6666.0,1,2,6,1942,,70,,,,5.0,,2.0,,West Midlands (England),,2012,-3
ESS6e02_7,6,2.7,18.08.2025,177022,GB,1.0105622,1.0854229,2.2821152,2.47706,,,,,,,,,,8,8,7,,,2.0,7.0,5,8,3,2.0,,,,,2,,,2.0,,1,,1,1,Not applicable,6666.0,2,1,1,1964,,48,,,,6.0,,3.0,,West Midlands (England),,2012,0
ESS6e02_7,6,2.7,18.08.2025,177071,GB,0.5052811,0.370178,2.2821152,0.8447889,,,,,,,,,,8,8,8,,,4.0,6.0,8,6,88,1.0,,,,,1,,,2.0,,1,,1,2,Church of England / Anglican,6666.0,1,2,6,1923,,89,,,,5.0,,5.0,,West Midlands (England),,2012,3
ESS6e02_7,6,2.7,18.08.2025,177105,GB,1.0105622,0.78334314,2.2821152,1.7876793,,,,,,,,,,8,7,5,,,1.0,1.0,8,9,7,1.0,,,,,2,,,2.0,,1,,1,2,Church of England / Anglican,6666.0,5,2,1,1966,,46,,,,66.0,,5.0,,West Midlands (England),,2012,3
ESS6e02_7,6,2.7,18.08.2025,177113,GB,1.0105622,0.740356,2.2821152,1.6895778,,,,,,,,,,6,8,6,,,2.0,3.0,7,8,6,66.0,,,,,3,,,2.0,,1,,1,1,Other,6666.0,2,2,1,1944,,68,,,,66.0,,2.0,,West Midlands (England),,2012,2
ESS6e02_7,6,2.7,18.08.2025,177162,GB,1.0105622,0.78334314,2.2821152,1.7876793,,,,,,,,,,8,6,7,,,66.0,0.0,4,6,6,2.0,,,,,2,,,2.0,,1,,1,2,Church of England / Anglican,6666.0,5,2,1,1967,,45,,,,6.0,,2.0,,West Midlands (England),,2012,-1
ESS6e02_7,6,2.7,18.08.2025,177170,GB,0.5052811,0.3929299,2.2821152,0.89671135,,,,,,,,,,5,5,5,,,2.0,6.0,4,4,1,2.0,,,,,2,,,2.0,,1,,1,2,Other,6666.0,1,1,6,1935,,77,,,,4.0,,2.0,,West Midlands (England),,2012,-1
ESS6e02_7,6,2.7,18.08.2025,177204,GB,1.0105622,1.0854229,2.2821152,2.47706,,,,,,,,,,6,4,4,,,2.0,5.0,4,3,4,3.0,,,,,1,,,2.0,,1,,1,2,Other,6666.0,2,1,2,1959,,53,,,,66.0,,2.0,,West Midlands (England),,2012,-1
ESS6e02_7,6,2.7,18.08.2025,178012,GB,1.0105622,0.7833432,2.2821152,1.7876794,,,,,,,,,,6,6,5,,,1.0,2.0,5,2,1,66.0,,,,,3,,,2.0,,1,,1,2,Not applicable,6666.0,3,2,1,1964,,48,,,,6.0,,1.0,,West Midlands (England),,2012,0
ESS6e02_7,6,2.7,18.08.2025,178020,GB,1.0105622,0.7833432,2.2821152,1.7876794,,,,,,,,,,4,4,4,,,0.0,2.0,5,5,5,1.0,,,,,3,,,2.0,,1,,1,2,Not applicable,6666.0,2,2,1,1959,,54,,,,66.0,,1.0,,West Midlands (England),,2012,0
ESS6e02_7,6,2.7,18.08.2025,178046,GB,1.0105622,0.7403561,2.2821152,1.6895779,,,,,,,,,,9,8,8,,,2.0,5.0,7,8,5,1.0,,,,,1,,,2.0,,1,,1,2,Church of England / Anglican,6666.0,2,2,1,1946,,66,,,,66.0,,2.0,,West Midlands (England),,2012,2
ESS6e02_7,6,2.7,18.08.2025,178079,GB,0.5052811,0.39292994,2.2821152,0.8967114,,,,,,,,,,6,7,6,,,2.0,4.0,10,5,3,1.0,,,,,2,,,2.0,,1,,1,2,Church of England / Anglican,6666.0,1,1,6,1936,,76,,,,6.0,,2.0,,West Midlands (England),,2012,5
ESS6e02_7,6,2.7,18.08.2025,178095,GB,1.0105622,0.7403561,2.2821152,1.6895779,,,,,,,,,,5,4,8,,,2.0,7.0,9,8,6,1.0,,,,,3,,,2.0,,1,,1,2,Church of England / Anglican,6666.0,2,2,1,1935,,77,,,,66.0,,1.0,,West Midlands (England),,2012,4
